"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"82",3148,"Armagh",54.42554855,-6.438469887,19761011,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"83",9106,"Armagh",54.34640121,-6.656970024,19850221,1368.053543,0,0,0,1,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1985,16
"84",8216,"Armagh",54.34640121,-6.656970024,19740826,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"85",1335,"Armagh",54.34640121,-6.656970024,19761026,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"86",1105,"Armagh",54.18859863,-6.361060143,19740524,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"87",8189,"Armagh",54.18859863,-6.361060143,19740812,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"88",1332,"Armagh",54.457584,-6.60293,19761013,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"89",1916,"Armagh",54.352056,-6.662953,19930209,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1993,24
"90",2202,"Armagh",54.1887207,-6.362110138,19711023,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"91",793,"Armagh",54.46709824,-6.338129997,19720618,1368.053543,1,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"92",1958,"Armagh",54.19549179,-6.395780087,19970212,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1997,28
"93",2079,"Armagh",54.18859863,-6.361060143,19710530,1368.053543,0,1,0,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
