id,date,lat,long,initGovt,initRebel,initCiv,initOther,targetGovt,targetRebel,targetCiv,targetOther,direct,name,areaSqKm,boundary
277,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
278,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
279,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
280,19760107,54.5893,-5.954874,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
281,19760113,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
282,19760113,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
283,19760115,54.624551,-5.931384,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
284,19760122,54.451263,-6.794283,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
285,19760127,54.626371,-5.943581,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
286,19760130,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
287,19760207,54.458359,-6.473368,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
288,19760207,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
289,19760207,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
290,19760228,54.579995,-5.935213,0,1,0,0,0,0,1,0,1,Belfast South,24.27765275,1
291,19760310,54.528253,-5.956672,0,1,0,0,0,0,1,0,1,North Down,832.4316427,0
292,19760311,54.570395,-6.039026,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
293,19760313,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
296,19760407,54.41410065,-6.13973999,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
297,19760407,54.41410065,-6.13973999,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
298,19760407,54.41410065,-6.13973999,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
299,19760429,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
300,19760516,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
301,19760516,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
302,19760517,54.459861,-6.713728,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
303,19760517,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
304,19760521,54.48001862,-6.227839947,0,1,0,0,0,0,1,0,0,South Down,1797.012474,0
305,19760604,54.617516,-5.968644,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
306,19760605,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
307,19760605,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
308,19760606,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
309,19760611,54.541469,-6.041847,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
310,19760619,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
311,19760624,54.34640121,-6.656970024,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
312,19760625,54.701109,-6.051452,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
313,19760625,54.701109,-6.051452,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
314,19760625,54.70158005,-6.092870235,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
315,19760701,54.566015,-5.989479,0,1,0,0,0,0,1,0,1,Belfast South,24.27765275,1
316,19760717,54.35046768,-7.644734859,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
317,19760730,54.575322,-6.004313,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
